date,code_id,option_type,K,T,sigma_bsm
2016-09-08,10000599,C,2.3,2016-09-28,0.24383543216681625
2016-09-09,10000599,C,2.3,2016-09-28,0.24166529566275216
2016-09-12,10000599,C,2.3,2016-09-28,0.041024873077568524
2016-09-13,10000599,C,2.3,2016-09-28,0.049785235888153194
2016-09-14,10000599,C,2.3,2016-09-28,0.06043985960990016
2016-09-19,10000599,C,2.3,2016-09-28,0.061689822351710055
2016-09-20,10000599,C,2.3,2016-09-28,0.06746063147567376
2016-09-21,10000599,C,2.3,2016-09-28,0.07250713504362345
2016-09-22,10000599,C,2.3,2016-09-28,0.05619959079991403
2016-09-23,10000599,C,2.3,2016-09-28,0.0638096487066675
2016-09-26,10000599,C,2.3,2016-09-28,0.025239109
2016-09-27,10000599,C,2.3,2016-09-28,0.026444997999999997
2016-09-28,10000599,C,2.3,2016-09-28,0.025090663
2016-09-29,10000700,C,2.25,2016-10-26,-0.00890634644779029
2016-09-30,10000700,C,2.25,2016-10-26,-0.7972438394660657
2016-10-10,10000700,C,2.25,2016-10-26,-0.1763735009989726
2016-10-11,10000700,C,2.25,2016-10-26,0.010425264990577374
2016-10-12,10000700,C,2.25,2016-10-26,0.24498774925503541
2016-10-13,10000700,C,2.25,2016-10-26,0.2454639489905356
2016-10-14,10000700,C,2.25,2016-10-26,0.012291183397713639
2016-10-17,10000700,C,2.25,2016-10-26,0.24524349383177604
2016-10-18,10000700,C,2.25,2016-10-26,0.026675138186476592
2016-10-19,10000701,C,2.3,2016-10-26,0.023132184202168258
2016-10-20,10000701,C,2.3,2016-10-26,0.024301341374261973
2016-10-21,10000701,C,2.3,2016-10-26,0.24428916256399524
2016-10-24,10000717,C,2.3,2016-11-23,3.3794310029568175e-05
2016-10-25,10000717,C,2.3,2016-11-23,-0.19952003787445016
2016-10-26,10000717,C,2.3,2016-11-23,0.24509839051230303
2016-10-27,10000717,C,2.3,2016-11-23,0.24507544481020005
2016-10-28,10000717,C,2.3,2016-11-23,0.24478680326521748
2016-10-31,10000717,C,2.3,2016-11-23,0.2452344072357976
2016-11-01,10000717,C,2.3,2016-11-23,0.24349439384021934
2016-11-02,10000717,C,2.3,2016-11-23,0.24509822782434007
2016-11-03,10000717,C,2.3,2016-11-23,0.01690710613740896
2016-11-04,10000723,C,2.35,2016-11-23,0.017754604006852547
2016-11-07,10000723,C,2.35,2016-11-23,-0.053283340407488326
2016-11-08,10000723,C,2.35,2016-11-23,0.2435318201728561
2016-11-09,10000723,C,2.35,2016-11-23,0.024741427732521394
2016-11-10,10000723,C,2.35,2016-11-23,0.24415828225448877
